i,f,A1,A2,A3,A4,A5,A6,table
s1S,s2P,7.087e-1,-9.347e-2,-1.598e0,2.986e0,-1.293e0,3.086e-1,dipole-allowed
s1S,s3P,1.730e-1,2.410e-2,-4.709e-1,7.690e-1,-3.216e-1,8.568e-1,dipole-allowed
s1S,s4P,6.923e-2,6.893e-3,-2.079e-1,3.508e-1,-1.497e-1,4.280e-2,dipole-allowed
s2S,s2P,3.404e1,7.267e1,1.710e2,-7.033e2,4.704e2,1.194e1,dipole-allowed
s2S,s3P,3.336e0,-1.147e0,-4.889e0,2.023e1,-1.336e1,1.059e1,dipole-allowed
s2S,s4P,8.826e-1,-3.618e-1,-1.231e0,5.606e0,-3.985e0,5.890e0,dipole-allowed
s2P,s3S,4.604e0,-2.204e0,-1.093e1,3.893e1,-2.440e1,5.612e0,dipole-allowed
s2P,s3D,6.255e1,4.458e1,-2.409e2,4.069e2,-1.955e2,1.055e1,dipole-allowed
s2P,s4S,5.545e-1,-4.400e-4,-6.360e-1,1.785e0,-4.656e-1,3.675e0,dipole-allowed
s2P,s4D,7.910e0,9.449e0,-4.534e1,7.295e1,-3.374e1,5.963e0,dipole-allowed
s3S,s3P,1.837e2,5.147e2,-2.760e3,4.081e3,-1.832e3,2.332e1,dipole-allowed
s3S,s4P,1.517e1,-3.469e1,7.918e1,-6.474e1,2.026e1,2.138e0,dipole-allowed
s3D,s3P,2.932e2,8.061e2,1.229e5,-9.222e5,1.898e6,1.134e2,dipole-allowed
s3D,s4F,4.145e2,3.149e2,-2.065e3,3.516e3,-1.650e3,2.407e1,dipole-allowed
s3D,s4P,3.712e0,2.713e0,-5.615e0,5.290e0,-2.158e0,0.000e0,dipole-allowed
s3P,s4S,7.884e0,1.097e2,-5.543e2,1.008e3,-5.630e2,3.559e1,dipole-allowed
s3P,s4D,1.629e2,6.048e1,-1.055e3,2.398e3,-1.390e3,2.594e1,dipole-allowed
s4S,s4P,6.787e2,9.856e2,-1.751e4,-4.424e3,2.284e5,1.876e1,dipole-allowed
s4D,s4F,1.498e3,3.296e3,1.250e4,-2.970e4,1.501e4,6.435e0,dipole-allowed
s4D,s4P,1.161e3,3.649e3,6.912e5,-1.081e7,5.967e7,1.523e2,dipole-allowed
t2S,t2P,7.696e1,1.250e2,4.938e1,-4.778e2,3.189e2,8.157e0,dipole-allowed
t2S,t3P,3.292e0,-3.594e0,3.934e0,1.138e1,-8.145e0,3.360e0,dipole-allowed
t2S,t4P,9.700e-1,-4.920e-1,1.629e0,5.632e-1,4.405e-2,5.963e0,dipole-allowed
t2P,t3S,1.929e1,4.277e0,-6.306e1,1.483e2,-6.056e1,8.088e0,dipole-allowed
t2P,t3D,1.414e2,9.031e1,-6.238e2,1.183e3,-6.424e2,8.626e0,dipole-allowed
t2P,t4S,2.198e0,2.445e-1,-4.386e-1,-1.691e0,7.824e0,4.614e0,dipole-allowed
t2P,t4D,2.209e1,2.204e1,-1.161e2,2.050e2,-1.064e2,5.876e0,dipole-allowed
t3S,t3P,4.881e2,7.567e2,-6.376e3,1.258e4,-7.062e3,1.652e1,dipole-allowed
t3S,t4P,7.079e0,-9.037e-1,-1.830e0,2.059e1,-8.431e0,2.199e0,dipole-allowed
t3P,t3D,9.796e2,1.371e3,8.389e4,-4.649e5,6.375e5,4.209e1,dipole-allowed
t3P,t4S,1.233e2,2.406e1,-5.256e2,1.274e3,-6.444e2,2.301e1,dipole-allowed
t3P,t4D,3.295e2,6.359e1,-1.630e3,4.159e3,-2.512e3,2.522e1,dipole-allowed
t3D,t4F,1.255e3,8.455e2,-6.966e3,1.319e4,-6.781e3,2.291e1,dipole-allowed
t3D,t4P,2.639e1,-8.708e0,8.497e1,4.800e0,-2.920e1,4.310e0,dipole-allowed
t4S,t4P,3.306e3,-8.483e3,2.027e4,-1.869e4,6.912e3,2.733e0,dipole-allowed
t4P,t4D,3.462e3,8.765e3,5.011e5,-6.347e6,1.989e7,6.451e1,dipole-allowed
t4D,t4F,2.884e3,2.423e4,1.663e7,-2.552e8,2.912e9,5.760e2,dipole-allowed
s1S,s2S,1.888e-1,-5.754e-1,3.439e0,-2.088e0,2.544e1,,dipole-forbidden
s1S,s3S,4.033e-2,-1.872e-2,2.368e0,-1.379e0,1.258e2,,dipole-forbidden
s1S,s3D,9.708e-3,2.855e-2,-8.265e-2,4.944e-2,1.992e-1,,dipole-forbidden
s1S,s4S,1.613e-2,-5.564e-2,2.943e-1,-2.024e-1,2.342e1,,dipole-forbidden
s1S,s4D,5.420e-3,1.198e-2,-3.173e-2,1.606e-2,1.060e-1,,dipole-forbidden
s1S,s4F,4.383e-5,-1.033e-4,3.772e-3,1.631e-2,5.644e1,,dipole-forbidden
s2P,s3P,1.689e1,-4.916e1,1.185e2,-7.711e1,1.079e1,,dipole-forbidden
s2P,s4F,4.731e0,2.708e1,-3.209e1,1.993e1,2.372e1,,dipole-forbidden
s2P,s4P,3.599e0,-1.267e1,1.916e1,-1.007e1,0.000e0,,dipole-forbidden
s2S,s3S,3.762e0,-1.140e1,1.403e1,-5.377e0,1.010e0,,dipole-forbidden
s2S,s3D,1.058e1,3.485e1,7.830e1,-1.043e2,5.370e1,,dipole-forbidden
s2S,s4S,7.829e-1,-2.417e0,2.876e0,-1.108e0,0.000e0,,dipole-forbidden
s2S,s4D,1.872e0,5.458e0,-6.857e0,5.902e0,3.358e1,,dipole-forbidden
s2S,s4F,5.041e-1,4.182e0,-6.329e0,3.139e0,9.425e0,,dipole-forbidden
s3D,s4S,5.089e0,-2.327e1,5.943e1,-4.074e1,6.132e-1,,dipole-forbidden
s3D,s4D,9.109e1,-2.982e2,6.165e2,-3.155e2,1.178e1,,dipole-forbidden
s3P,s4F,1.542e2,7.434e2,4.114e2,-5.986e2,2.059e2,,dipole-forbidden
s3P,s4P,6.444e1,-2.365e2,4.775e2,-3.084e2,1.641e1,,dipole-forbidden
s3S,s3D,4.273e1,-1.488e1,-1.041e2,7.962e1,1.700e0,,dipole-forbidden
s3S,s4S,1.523e1,-8.159e1,1.695e2,-9.929e1,5.103e0,,dipole-forbidden
s3S,s4D,2.585e1,-8.587e1,1.017e2,-4.008e1,0.000e0,,dipole-forbidden
s3S,s4F,1.939e1,-4.539e1,3.911e1,-1.204e1,0.000e0,,dipole-forbidden
s4S,s4D,1.681e2,-7.059e2,1.022e3,-4.831e2,0.000e0,,dipole-forbidden
s4S,s4F,3.016e1,-8.980e2,2.240e4,-2.150e4,2.749e2,,dipole-forbidden
s4F,s4P,1.655e2,3.062e3,2.503e4,-2.822e4,2.256e2,,dipole-forbidden
t2S,t3S,8.344e0,-2.658e1,3.488e1,-1.431e1,0.000e0,,dipole-forbidden
t2S,t3D,1.679e1,5.841e1,3.435e2,-3.922e2,6.290e1,,dipole-forbidden
t2S,t4S,1.636e0,-3.577e0,1.959e0,8.521e-1,0.000e0,,dipole-forbidden
t2S,t4D,4.063e0,1.541e1,6.089e1,-7.115e1,5.762e1,,dipole-forbidden
t2S,t4F,5.676e-1,4.383e0,9.326e0,-9.539e0,1.816e1,,dipole-forbidden
t2P,t3P,4.512e1,-1.261e2,2.152e2,-6.746e1,4.133e0,,dipole-forbidden
t2P,t4P,9.110e0,-2.180e1,2.242e1,-5.746e0,0.000e0,,dipole-forbidden
t2P,t4F,9.560e0,5.997e1,3.657e1,-5.017e1,3.155e1,,dipole-forbidden
t3S,t3D,1.293e2,-2.074e1,-3.571e2,2.500e2,0.000e0,,dipole-forbidden
t3S,t4S,3.862e1,-1.898e2,3.639e2,-5.587e1,1.719e1,,dipole-forbidden
t3S,t4D,3.031e1,1.193e2,1.209e2,-1.560e2,5.758e1,,dipole-forbidden
t3S,t4F,3.902e1,1.083e2,8.382e2,-8.417e2,4.843e1,,dipole-forbidden
t3P,t4F,4.062e2,1.633e3,6.407e3,-5.657e3,1.825e2,,dipole-forbidden
t3P,t4P,1.832e2,-8.062e2,1.381e3,-7.116e2,2.103e0,,dipole-forbidden
t3D,t4S,2.782e1,9.856e1,8.697e2,2.306e3,1.772e2,,dipole-forbidden
t3D,t4D,2.774e2,-8.107e2,3.733e3,-2.662e3,3.313e1,,dipole-forbidden
t4S,t4D,5.093e2,-1.954e3,2.489e3,-1.035e3,0.000e0,,dipole-forbidden
t4S,t4F,1.054e2,-1.972e3,2.347e4,-2.137e4,9.322e1,,dipole-forbidden
t4P,t4F,6.848e2,-8.638e4,1.881e7,-1.825e7,2.744e4,,dipole-forbidden
s1S,t2P,2.823e-1,2.048e0,5.287e0,-7.363e0,2.728e1,,spin-forbidden
s1S,t2S,6.888e-1,1.975e-1,7.232e0,-4.839e0,5.003e1,,spin-forbidden
s1S,t3D,2.207e-3,8.429e-3,1.816e-1,-1.812e-1,9.544e0,,spin-forbidden
s1S,t3P,6.730e-2,5.465e-1,-4.434e-1,-1.042e-1,1.140e1,,spin-forbidden
s1S,t3S,9.392e-2,-1.641e-1,7.605e-2,-4.536e-3,-9.246e-1,,spin-forbidden
s1S,t4D,1.334e-3,1.819e-2,-3.848e-2,1.896e-2,-9.893e-1,,spin-forbidden
s1S,t4F,0.000e0,4.079e-4,-3.863e-4,1.701e-5,-9.497e-1,,spin-forbidden
s1S,t4P,2.585e-2,2.275e-1,-5.827e-2,-1.615e-1,1.505e1,,spin-forbidden
s1S,t4S,3.008e-2,-3.956e-2,-1.940e-3,1.154e-2,-9.813e-1,,spin-forbidden
s2P,t3D,1.702e1,1.484e3,-4.593e2,-8.789e2,3.229e2,,spin-forbidden
s2P,t3P,1.093e1,8.331e3,1.929e4,-1.731e4,5.540e3,,spin-forbidden
s2P,t3S,4.980e0,4.415e2,1.002e3,-8.063e2,5.626e2,,spin-forbidden
s2P,t4D,3.686e0,1.887e2,-9.472e0,-1.471e2,1.729e2,,spin-forbidden
s2P,t4F,8.678e-1,3.062e1,-3.479e1,1.127e1,3.760e1,,spin-forbidden
s2P,t4P,2.243e0,5.624e2,8.402e2,-3.634e2,1.504e3,,spin-forbidden
s2P,t4S,6.494e-1,2.526e1,-1.162e0,5.160e1,1.225e2,,spin-forbidden
s2S,t2P,5.983e2,-5.310e2,3.348e2,-2.412e2,2.239e2,,spin-forbidden
s2S,t3D,4.042e0,1.358e2,8.142e1,-2.085e2,1.737e2,,spin-forbidden
s2S,t3P,1.382e0,8.314e1,2.834e2,-1.831e2,3.176e2,,spin-forbidden
s2S,t3S,6.648e-1,1.940e3,6.935e2,1.447e3,6.339e3,,spin-forbidden
s2S,t4D,9.480e-1,2.121e1,-7.385e0,-1.085e1,7.917e1,,spin-forbidden
s2S,t4F,2.338e-1,-6.755e1,8.613e3,-8.035e3,1.772e4,,spin-forbidden
s2S,t4P,2.701e-1,1.187e1,7.598e0,1.182e0,1.051e2,,spin-forbidden
s2S,t4S,1.236e-1,2.041e2,-2.538e2,1.090e3,3.582e3,,spin-forbidden
s3D,t4D,4.743e1,1.223e5,2.074e5,-2.893e5,1.904e4,,spin-forbidden
s3D,t4F,6.314e1,2.583e4,-5.741e3,-1.452e4,1.536e3,,spin-forbidden
s3D,t4P,0.000e0,3.369e3,6.115e3,-5.152e3,8.638e2,,spin-forbidden
s3D,t4S,1.499e0,1.809e3,1.005e3,-6.550e2,9.339e2,,spin-forbidden
s3P,t4D,1.470e1,5.349e3,5.281e3,-9.207e3,1.556e3,,spin-forbidden
s3P,t4F,7.766e1,1.248e4,8.902e3,-2.051e4,2.003e3,,spin-forbidden
s3P,t4P,1.125e1,1.295e5,5.808e4,-8.942e4,4.622e4,,spin-forbidden
s3P,t4S,7.973e0,5.673e3,5.417e3,-6.546e3,3.901e3,,spin-forbidden
s3S,t3D,6.729e2,6.022e5,-2.032e6,1.788e6,2.709e4,,spin-forbidden
s3S,t3P,1.242e3,1.094e7,-2.101e7,1.138e7,3.429e5,,spin-forbidden
s3S,t4D,4.674e0,2.273e2,7.469e2,-8.390e2,2.907e2,,spin-forbidden
s3S,t4F,1.601e0,1.311e3,5.193e2,-1.588e3,4.897e2,,spin-forbidden
s3S,t4P,1.878e0,7.168e2,1.402e3,6.210e1,1.290e3,,spin-forbidden
s3S,t4S,1.395e0,1.370e4,-3.392e4,7.064e4,2.137e4,,spin-forbidden
s4D,t4F,8.165e7,-4.651e8,9.297e8,-5.415e8,7.004e6,,spin-forbidden
s4S,t4D,9.651e2,3.404e7,-1.015e8,7.969e7,1.764e6,,spin-forbidden
s4S,t4F,2.102e2,8.995e5,-2.902e6,2.495e6,3.244e4,,spin-forbidden
s4S,t4P,2.968e3,1.709e8,-4.113e8,3.782e8,4.486e6,,spin-forbidden
t2P,s2P,7.477e3,-7.356e1,-1.484e4,9.359e3,1.364e3,,spin-forbidden
t2P,s3D,1.248e1,8.429e2,-7.194e2,1.665e2,2.114e2,,spin-forbidden
t2P,s3P,1.010e1,3.349e3,1.034e4,-1.269e4,3.023e3,,spin-forbidden
t2P,s3S,3.068e0,1.914e2,1.311e3,-1.191e3,5.774e2,,spin-forbidden
t2P,s4D,3.009e0,1.194e2,-1.716e2,9.982e1,9.528e1,,spin-forbidden
t2P,s4F,5.663e-1,1.780e1,-3.464e1,1.990e1,1.573e1,,spin-forbidden
t2P,s4P,2.226e0,4.009e2,3.283e3,-3.644e3,1.904e3,,spin-forbidden
t2P,s4S,5.902e-1,1.755e1,1.286e1,1.786e1,1.158e2,,spin-forbidden
t2S,s2P,4.893e1,4.251e3,-4.330e3,1.934e2,8.928e2,,spin-forbidden
t2S,s2S,5.475e1,3.483e5,2.345e5,-5.090e5,5.424e4,,spin-forbidden
t2S,s3D,1.854e0,3.979e1,4.699e0,-2.647e1,8.091e1,,spin-forbidden
t2S,s3P,1.383e0,5.353e1,3.937e2,-4.378e2,4.331e2,,spin-forbidden
t2S,s3S,6.561e-1,5.721e2,2.975e3,-1.773e3,5.210e3,,spin-forbidden
t2S,s4D,5.492e-1,8.462e0,-1.079e1,5.007e0,3.464e1,,spin-forbidden
t2S,s4F,8.208e-2,-1.311e1,1.155e3,-1.001e3,5.398e3,,spin-forbidden
t2S,s4P,3.412e-1,9.770e0,2.173e2,-2.240e2,5.031e2,,spin-forbidden
t2S,s4S,1.694e-1,7.331e1,8.903e1,1.828e2,2.183e3,,spin-forbidden
t3D,s3D,1.136e9,2.017e12,-1.201e15,1.669e17,1.343e8,,spin-forbidden
t3D,s3P,1.102e5,-5.174e5,8.277e5,-4.200e5,1.461e4,,spin-forbidden
t3D,s4D,4.723e1,1.223e5,2.166e5,-2.717e5,1.935e4,,spin-forbidden
t3D,s4F,6.305e1,2.582e4,-1.481e4,-5.014e3,1.496e3,,spin-forbidden
t3D,s4P,0.000e0,2.958e3,6.343e3,-9.301e3,9.406e2,,spin-forbidden
t3D,s4S,6.079e-1,9.783e2,1.616e3,-1.574e3,8.714e2,,spin-forbidden
t3P,s3D,6.039e3,4.209e7,-1.969e8,2.637e8,2.223e5,,spin-forbidden
t3P,s3P,6.013e3,-1.055e4,1.091e4,-6.078e3,8.163e2,,spin-forbidden
t3P,s4D,7.376e0,2.988e3,8.028e3,-7.799e3,1.065e3,,spin-forbidden
t3P,s4F,6.272e1,6.842e3,1.574e3,-5.607e3,1.122e3,,spin-forbidden
t3P,s4P,2.776e1,-8.087e1,3.210e2,-2.668e2,2.334e1,,spin-forbidden
t3P,s4S,3.483e0,1.338e3,5.297e3,-2.062e3,2.147e3,,spin-forbidden
t3S,s3D,1.545e2,4.931e4,4.578e4,-9.484e4,6.629e3,,spin-forbidden
t3S,s3P,6.104e1,-1.350e2,1.268e2,-5.257e1,6.185e0,,spin-forbidden
t3S,s3S,1.731e2,2.350e6,5.044e6,-7.305e6,3.601e5,,spin-forbidden
t3S,s4D,3.036e0,-2.081e3,6.538e5,-5.498e5,1.362e5,,spin-forbidden
t3S,s4F,9.155e-1,6.187e2,2.079e2,-6.677e2,3.049e2,,spin-forbidden
t3S,s4P,1.725e0,4.197e2,1.477e3,-1.845e3,1.186e3,,spin-forbidden
t3S,s4S,9.802e-1,7.696e3,-2.354e4,4.408e4,1.801e4,,spin-forbidden
t4D,s4D,7.367e8,-2.854e9,5.369e9,-3.233e9,6.737e7,,spin-forbidden
t4D,s4F,5.179e7,-3.389e8,7.078e8,-4.136e8,3.808e6,,spin-forbidden
t4D,s4P,3.467e5,-1.223e5,-1.174e7,2.974e7,7.585e4,,spin-forbidden
t4F,s4F,1.026e10,3.470e13,-2.933e16,5.666e18,6.300e8,,spin-forbidden
t4F,s4P,2.520e5,-1.057e6,-1.446e6,8.086e6,4.052e4,,spin-forbidden
t4P,s4D,1.466e4,8.679e8,-3.528e9,4.055e9,4.533e6,,spin-forbidden
t4P,s4F,1.878e4,4.402e7,-2.107e8,2.660e8,2.108e5,,spin-forbidden
t4P,s4P,1.482e4,-4.752e4,3.964e4,3.244e3,2.200e3,,spin-forbidden
t4S,s4D,2.220e2,3.024e6,9.322e6,-1.234e7,4.572e5,,spin-forbidden
t4S,s4F,4.678e1,7.677e4,-1.273e5,6.421e4,5.849e3,,spin-forbidden
t4S,s4P,1.650e2,1.455e6,-2.700e6,1.284e6,1.720e5,,spin-forbidden
t4S,s4S,3.429e2,9.919e6,-7.244e6,3.127e7,1.147e6,,spin-forbidden
s1S,,5.857e-1,-4.457e-1,7.680e-1,-2.521e0,3.317e0,0.000e0,ionization
t2S,,2.427e-1,-1.900e-1,3.205e-1,7.631e-1,-8.329e-1,-2.405e-1,ionization
s2S,,3.076e-1,-2.748e-1,4.462e-1,-1.841e-1,1.336e0,-1.775e0,ionization
t2P,,2.104e-1,-1.750e-1,2.994e-1,9.493e-1,-4.479e-1,-3.833e-1,ionization
s2P,,2.068e-1,-2.034e-1,5.759e-1,-2.442e-1,1.986e0,-2.019e0,ionization
t3S,,1.878e-1,-1.871e-1,1.223e0,-3.805e0,8.412e0,-5.872e0,ionization
s3S,,1.787e-1,-1.775e-1,7.023e-1,-1.132e0,3.727e0,-3.255e0,ionization
t3P,,2.694e-1,-2.606e-1,6.476e-1,-2.256e0,5.876e0,-4.273e0,ionization
t3D,,8.034e-2,-7.667e-2,8.839e-1,-4.051e0,1.110e1,-7.427e0,ionization
s3D,,9.637e-2,-9.370e-2,1.051e0,-4.831e0,1.251e1,-8.287e0,ionization
s3P,,1.654e-1,-1.640e-1,3.123e-1,-4.326e-2,1.729e0,-1.691e0,ionization
t4S,,9.429e-2,-7.480e-2,8.668e-1,-3.637e0,8.681e0,-5.816e0,ionization
s4S,,1.206e-1,-1.136e-1,7.407e-1,-3.115e0,7.325e0,-4.900e0,ionization
t4P,,2.128e-1,-1.957e-1,4.731e-1,-1.800e0,3.918e0,-2.596e0,ionization
t4D,,2.507e-2,-4.722e-3,1.340e-1,7.719e-1,-4.388e-1,1.245e-1,ionization
s4D,,1.814e-2,1.047e-2,6.380e-2,1.172e0,-9.804e-1,3.382e-1,ionization
t4F,,6.742e-3,4.431e-2,-8.945e-2,1.335e0,4.955e-1,-1.073e0,ionization
s4F,,4.340e-2,1.216e-2,3.506e-1,-1.911e0,6.694e0,-4.631e0,ionization
s4P,,1.807e-1,-1.724e-1,2.448e-1,-6.578e-1,2.026e0,-1.535e0,ionization
double,,1.323e-6,8.208e-3,-6.676e-2,2.978e-1,-1.925e-1,0.000e0,ionization
